pkg,stars
CliMA/Oceananigans.jl,364
SciML/DiffEqTutorials.jl,357
jrevels/Cassette.jl,280
CliMA/ClimateMachine.jl,235
rdeits/MeshCat.jl,131
CEED/libCEED,85
dfdx/Yota.jl,79
SciML/DiffEqGPU.jl,76
zenna/Omega.jl,75
JuliaGPU/KernelAbstractions.jl,70
vchuravy/GPUifyLoops.jl,55
oxinabox/AutoPreallocation.jl,54
PSORLab/EAGO.jl,53
wsmoses/Enzyme.jl,50
dfdx/Lilith.jl,47
JuliaRobotics/RigidBodySim.jl,45
YingboMa/ForwardDiff2.jl,44
SciML/SparsityDetection.jl,43
oxinabox/MagneticReadHead.jl,40
dfdx/Avalon.jl,38
triscale-innov/GFlops.jl,38
JuliaRobotics/MeshCatMechanisms.jl,25
j-fu/VoronoiFVM.jl,23
zenna/Lens.jl,15
exanauts/ExaPF.jl,14
JuliaTesting/SimpleMock.jl,13
bcbi/PredictMD.jl,11
ryanelandt/PressureFieldContact.jl,7
JuliaRobotics/Arena.jl,6
JuliaGPU/DaggerGPU.jl,6
shashi/Amb.jl,4
zenna/Spec.jl,1
zenna/Callbacks.jl,1
aminya/AcuteBenchmark.jl,1
bcbi/PredictMDFull.jl,1
janbruedigam/ConstrainedDynamicsVis.jl,0
onetonfoot/Bonsai.jl,0
